"","x"
"1","배안"
"2","복강"
"3","복식분만"
"4","복부태아회전"
"5","갓돌림신경"
"6","외전신경"
"7","갓돌림신경"
"8","외전신경"
"9","짧은엄지벌림근"
"10","단무지외전근"
"11","이상행동"
"12","비정상불수의운동척도"
"13","이상운동"
"14","부전"
"15","불현"
"16","유산유발"
"17","유산수태물"
"18","불발감염"
"19","불현감염"
"20","부전프로파지"
"21","불현프로파지"
"22","부전형질도입"
"23","유산열"
"24","무릎위절단"
"25","대퇴부절단"
"26","연마"
"27","연마제"
"28","흡수선량변환계수"
"29","흡수열"
"30","흡수율"
"31","가시세포분리이상각화모반"
"32","극세포해리이상각화모반"
"33","가시모양골반"
"34","극상골반"
"35","가속심실고유리듬"
"36","가속심실고유율동"
"37","촉진신경"
"38","허용소음수준"
"39","더부신경"
"40","부신경"
"41","순화열"
"42","조절"
"43","조절눈피로"
"44","조절눈모음"
"45","조절내편위"
"46","조절내사시"
"47","조절과다"
"48","조절외편위"
"49","조절외사시"
"50","조절피로"
"51","조절력"
"52","조절부전"
"53","조절마비"
"54","조절동공반사"
"55","조절사시"
"56","조절유발시표"
"57","동반정맥"
"58","성취도검사"
"59","완전색맹"
"60","탈색모반"
"61","무색모반"
"62","두창모양여드름"
"63","보통여드름"
"64","여드름"
"65","속귀신경"
"66","청신경"
"67","후천진행림프관종"
"68","아크리플라빈"
"69","봉우리목피판"
"70","견봉경피판"
"71","봉우리빗장관절"
"72","견봉쇄골관절"
"73","봉우리빗장인대"
"74","견봉쇄골인대"
"75","표피내땀샘관모반"
"76","표피내한선관모반"
"77","활성화흡착"
"78","활성숯"
"79","활성탄"
"80","활성혈액응고시간"
"81","활성화복합"
"82","활성화복합물"
"83","활성화부분트롬보플라스틴시간"
"84","활성해감모래법"
"85","활성오니법"
"86","활성해감모래통"
"87","활성오니조"
"88","활성화"
"89","활성화분석"
"90","방사화분석"
"91","활성화에너지"
"92","활성인자"
"93","개방관문"
"94","활성화과정"
"95","활성제"
"96","턱교정장치"
"97","활성제반응"
"98","능동"
"99","적극"
"100","활성"
"101","활성숯"
"102","활성탄"
"103","활성전극"
"104","능동운동"
"105","능동경사차폐"
"106","능동충혈"
"107","적극상상"
"108","적극명상"
"109","능동면역"
"110","능동면역화"
"111","적극함입양식"
"112","활성골수"
