"","x"
"1","삼차원위상대조혈관조영"
"2","히드록시인돌아세트산"
"3","무게인식불능"
"4","가동관절"
"5","움직관절"
"6","비관절통풍"
"7","탈구"
"8","가동관절"
"9","배"
"10","복부"
"11","배"
"12","복부"
"13","복식"
"14","배대동맥자루"
"15","복부대동맥류"
"16","배대동맥"
"17","복부대동맥"
"18","배대동맥신경얼기"
"19","복부대동맥신경총"
"20","배붕대"
"21","복대"
"22","배띠"
"23","배안"
"24","복강"
"25","배둘레"
"26","복부둘레"
"27","급경련복통"
"28","복부컴퓨터단층촬영"
"29","배컴퓨터단층촬영"
"30","복식분만"
"31","복부팽만"
"32","배벽진동감"
"33","복벽진동감"
"34","복강임신"
"35","배안임신"
"36","복벽탈장"
"37","배벽탈장"
"38","배자궁절제"
"39","복식자궁절제"
"40","배벽자궁고정"
"41","복벽자궁고정"
"42","배안착상"
"43","복강내착상"
"44","복부편두통"
"45","배편두통"
"46","배근육"
"47","복근"
"48","복통"
"49","배앓이"
"50","배천자"
"51","복부천자"
"52","복강임신"
"53","배안임신"
"54","복압"
"55","배근육반사"
"56","복벽반사"
"57","배호흡"
"58","복식호흡"
"59","배안주머니"
"60","복강주머니"
"61","개복"
"62","임신선"
"63","복부선"
"64","복부태아회전"
"65","배벽"
"66","복벽"
"67","배벽결손"
"68","복벽결손"
"69","배"
"70","복부"
"71","복식"
"72","복부방광"
"73","복식자궁절제"
"74","배자궁절제"
"75","복식자궁절개"
"76","배자궁절개"
"77","배샅절제"
"78","복회음절제"
"79","복부성형"
"80","배성형"
"81","벌림"
"82","외전"
"83","짧은엄지벌림근"
"84","단무지외전근"
"85","긴엄지벌림근"
"86","장무지외전근"
"87","배아반대쪽"
"88","배아반대쪽극"
"89","이상클론"
"90","이상전도"
"91","이상형태발생"
"92","변위형태형성"
"93","이상재생"
"94","딴곳갑상샘"
"95","이소성갑상선"
"96","이상"
"97","수차"
"98","빛벗어남"
"99","미주"
"100","수차계"
"101","무베타지질단백혈증"
"102","무활력"
"103","위축"
"104","태반조기박리"
"105","절제"
"106","제거"
"107","차단"
"108","세척광"
"109","세척벽"
"110","이상행동"
"111","이상교합"
"112","비정상불수의운동척도"
"113","이상운동"
"114","이상망막대응"
"115","이상자궁출혈"
"116","이상"
"117","비정상"
"118","혈액형체계"
"119","혈액형검사"
"120","난각후단돌출"
"121","난각후단비후"
"122","입에서먼"
"123","입반대쪽"
"124","낙태제"
"125","낙태제"
"126","유산"
"127","낙태"
"128","유산율"
"129","유산비"
"130","낙태시술자"
"131","부전"
"132","불현"
"133","유산유발"
"134","유산수태물"
"135","불발감염"
"136","불현감염"
"137","부전프로파지"
"138","불현프로파지"
"139","부전형질도입"
"140","낙태아"
"141","유산열"
"142","무릎위절단"
"143","대퇴부절단"
"144","찰과상"
"145","개갠상처"
"146","마멸"
"147","마모"
"148","연마"
"149","마멸량"
"150","마모량"
"151","연마기"
"152","속뚫림"
"153","태반조기박리"
"154","절제"
"155","절단"
"156","무수알코올"
"157","순알코올"
"158","절대부정맥"
"159","절대"
"160","침상"
"161","안정"
"162","절대심장둔탁음"
"163","절대상수"
"164","절대녹내장"
"165","절대음감"
"166","절대습도"
"167","절대원시"
"168","절대백혈구증가"
"169","절대불응기"
"170","절대위험모형"
"171","절대암점"
"172","절대온도"
"173","흡수거즈"
"174","흡수젤라틴갯솜"
"175","흡수젤라틴해면"
"176","흡수묶음실"
"177","흡수봉합사"
"178","흡광"
"179","흡수"
"180","흡광도"
"181","흡수도"
"182","피흡수물"
"183","흡수선량"
"184","흡수선량변환계수"
"185","흡수선량률"
"186","흡수분율"
"187","흡수촉진"
"188","흡수촉진제"
"189","흡수제"
"190","흡수제"
"191","흡수부위"
"192","흡수계측"
"193","흡수"
"194","흡수작용"
"195","흡수계수"
"196","흡수열"
"197","흡수지수"
"198","흡수유"
"199","흡수스펙트럼"
"200","흡수시험"
"201","흡수검사"
"202","흡수율"
"203","금단증후군"
"204","추출"
"205","추상"
"206","추상화"
"207","두눈바깥회선"
"208","두눈외회선"
"209","무결석쓸개"
"210","주머니"
"211","염"
"212","무결석담낭염"
"213","가시아메바"
"214","별가시아메바"
"215","카스텔라니가시아메바"
"216","쿨베르손가시아메바"
"217","가시아메바각막염"
"218","가시아메바수막뇌염"
"219","전비융기점"
"220","앞코가시점"
"221","구두충증"
"222","구두충"
"223","가시적혈구"
"224","가시적혈구증가"
"225","가시세포분리"
"226","극세포분리"
"227","가시세포분리가시세포종"
"228","극세포분리극세포종"
"229","가시세포분리세포"
"230","가시세포분리이상각화증"
"231","가시세포분리이상각화모반"
"232","극세포해리이상각화모반"
"233","가시세포종"
"234","극세포종"
"235","낭샘모양가시세포종"
"236","낭선모양극세포종"
"237","가시모양골반"
"238","극상골반"
"239","가시모양골반"
"240","극상골반"
"241","가시헛다리"
"242","극상위족"
"243","가시세포증"
"244","극세포증"
"245","흑색솟음가시세포증"
"246","흑색구진극세포증"
"247","흑색가시세포증"
"248","흑색극세포증"
"249","가시세포증식각화증"
"250","진드기피부염"
"251","진드기학"
"252","진드기공포"
"253","가속과분할"
"254","가속고혈압"
"255","가속심실고유리듬"
"256","가속심실고유율동"
"257","가속재증식"
"258","가속"
"259","가속도"
"260","촉진"
"261","촉진기"
"262","가속기"
"263","촉진인자"
"264","촉진제"
"265","가속기"
"266","촉진신경"
"267","항진"
"268","강화"
"269","강화제"
"270","일일허용량"
"271","허용소음수준"
"272","수용적분위기"
"273","수용체"
"274","받개"
"275","영구큰어금니"
"276","부가치"
"277","덧"
"278","부"
"279","부속"
"280","덧유방"
"281","보조세포"
"282","덧세포"
"283","덧염색체"
"284","더부신경경련"
"285","덧쐐기다발핵"
"286","부설상핵"
"287","덧귀"
"288","더부신경"
"289","부신경"
"290","덧핵소체"
"291","부핵소체"
"292","더부신경핵"
"293","부신경핵"
"294","덧눈돌림신경핵"
"295","부동안신경핵"
"296","덧이자"
"297","부췌장"
"298","덧이자관"
"299","부췌관"
"300","덧귀밑샘"
"301","부이하선"
"302","덧전도로"
"303","부전도로"
"304","덧태반"
"305","덧돌기"
"306","덧징후"
"307","부징후"
"308","덧지라"
"309","부비장"
"310","덧증상"
"311","부증상"
"312","덧갑상샘"
"313","덧갑상샘"
"314","덧자궁"
"315","부자궁"
"316","우발유산"
"317","우연오차"
"318","사고피폭"
"319","사고노출"
"320","우연숙주"
"321","사고경향성"
"322","기후순응"
"323","순화"
"324","순화열"
"325","조절"
"326","적응"
"327","숙소"
"328","조절력"
"329","조절마비"
"330","조절불완전마비"
"331","조절범위"
"332","조절반사"
"333","조절"
"334","조절눈피로"
"335","조절눈모음"
"336","조절내편위"
"337","조절내사시"
"338","조절과다"
"339","조절외편위"
"340","조절외사시"
"341","조절피로"
"342","조절력"
"343","조절부전"
"344","조절마비"
"345","조절동공반사"
"346","조절사시"
"347","조절유발시표"
"348","조절측정계"
"349","동반정맥"
"350","아코디언발"
"351","아코디언피부이식"
"352","인정"
"353","신임"
"354","발아생식"
"355","부착성장"
"356","부착성장"
"357","유착"
"358","부착"
"359","문화적응문제"
"360","축적"
"361","축적물"
"362","체류용액"
"363","정확도관리"
"364","무중심절염색체"
"365","비중심교합"
"366","쏠린맞물림"
"367","절구오목"
"368","비구와"
"369","절구패임"
"370","비구절흔"
"371","비구절제"
"372","절구절제"
"373","비구성형"
"374","절구성형"
"375","아세트아미노펜"
"376","아세트산화"
"377","초산화"
"378","아세토아세트산"
"379","아세토박터"
"380","아세트글리코스뇨"
"381","아세트산분해"
"382","아세토모르핀"
"383","아세톤천식"
"384","아세톤화"
"385","아세톤"
"386","아세톤혈증"
"387","아세톤뇨"
"388","아세틸화"
"389","아세틸반응"
"390","아세틸셀룰로오스"
"391","초산섬유소"
"392","아세틸콜린에스테르분해효소"
"393","아세틸콜린에스테라아제"
"394","아세틸조효소"
"395","아킬레스힘줄"
"396","아킬레스건"
"397","아킬레스힘줄반사"
"398","아킬레스건반사"
"399","아킬레스힘줄윤활낭염"
"400","아킬레스건윤활낭염"
"401","아킬레스힘줄통증"
"402","아킬레스건통증"
"403","아킬레스힘줄봉합"
"404","아킬레스건봉합"
"405","아킬레스힘줄절단"
"406","아킬레스건절단"
"407","위산없음증"
"408","무위산증"
"409","무위산소화불량"
"410","녹색맹"
"411","암흑공포"
"412","쓸개즙없음"
"413","무담즙"
"414","무담즙변"
"415","무담즙뇨"
"416","무담즙뇨"
"417","무담즙뇨가족성황달"
"418","무담즙뇨황달"
"419","연골무발생증"
"420","연골무형성증"
"421","무색소"
"422","완전색맹자"
"423","무색"
"424","비염색"
"425","무색수차"
"426","무색수차렌즈"
"427","무색지움렌즈"
"428","무색덩이"
"429","비염색덩이"
"430","완전색맹"
"431","무색성"
"432","완전색맹"
"433","무색적혈구"
"434","비염색"
"435","비염색세포"
"436","완전색맹"
"437","무색소증"
"438","무염색"
"439","무색"
"440","무색소뇨"
"441","무색소증"
"442","탈색모반"
"443","무색모반"
"444","무색적혈구"
"445","산성알코올"
"446","산용출슬라이드검사"
"447","산성점액다당류"
"448","산성뮤코다당류"
"449","산성인산분해효소"
"450","산염기보상"
"451","산염기지시계"
"452","항산균"
"453","산성화"
"454","산생성균"
"455","호산"
"456","호산세포"
"457","호산균"
"458","호산균"
"459","호산과립"
"460","호산구증가증"
"461","호산성샘종"
"462","호산세포"
"463","호산적혈모구"
"464","호산백혈구"
"465","호산골수세포"
"466","호산전골수세포"
"467","호산풋뼈속질세포"
"468","산증"
"469","뾰족뼈돌기"
"470","침상췌골"
"471","아시딜화"
"472","샘꽈리세포암종"
"473","세엽세포암종"
"474","아시네토박테르"
"475","샘꽈리세포암종"
"476","세엽세포암종"
"477","샘꽈리모양"
"478","세엽상"
"479","개교"
"480","무교합"
"481","뭉친여드름"
"482","화장품여드름"
"483","흉터종여드름"
"484","약물여드름"
"485","괴사여드름"
"486","좁쌀괴사여드름"
"487","구진여드름"
"488","돋음여드름"
"489","솟음여드름"
"490","여드름장미증"
"491","두창모양여드름"
"492","여드름모양발진"
"493","여드름모양털집염"
"494","여드름모양모낭염"
"495","여드름모양구진"
"496","여드름모양솟음"
"497","무체강"
"498","무체강동물"
"499","동공없음"
"500","무동공"
"501","청각예민"
"502","청각"
"503","소리"
"504","음향"
"505","청각인식불능"
"506","청각실인증"
"507","받아쓰기언어불능"
"508","청각실서증"
"509","청각영역"
"510","청각조짐"
"511","청각눈깜박반사"
"512","청각중추"
"513","음향탄성"
"514","소리증강"
"515","음향증강"
"516","음향증폭"
"517","청각과민"
"518","듣기착각"
"519","착청"
"520","소리저항"
"521","소리임피던스"
"522","소리절연체"
"523","음향절연체"
"524","소리경계면"
"525","음향경계면"
"526","음향렌즈"
"527","소리흡수재"
"528","흡음재"
"529","속귀신경"
"530","청신경"
"531","속귀신경집종"
"532","청신경집종"
"533","속귀신경집종"
"534","청신경집종"
"535","귓구멍"
"536","청각부챗살"
"537","소리반사"
"538","음향강화"
"539","음향저항"
"540","음향코안통기도측정기"
"541","음향비강통기도검사기"
"542","청각신경집종"
"543","청신경슈반세포종"
"544","음향음영"
"545","음향스펙트럼"
"546","청각반점"
"547","음향스트레스"
"548","청각스트레스"
"549","음향변환기"
"550","음향변성기"
"551","음향학"
"552","음향광학"
"553","교류망"
"554","후천비늘증"
"555","후천면역결핍증후군"
"556","에이즈"
"557","후천면역결핍증후군"
"558","에이즈"
"559","후천거대잘록창자"
"560","후천거대결장"
"561","후천천공피부병"
"562","후천진행림프관종"
"563","획득내성"
"564","획득"
"565","습득"
"566","획득행렬수"
"567","획득방법"
"568","획득시간"
"569","말단과다각화증"
"570","말단흑자흑색종"
"571","완전색맹"
"572","팔다리인식불능"
"573","사지실인증"
"574","말단감각마비"
"575","말단혈관피부염"
"576","손발관절염"
"577","수족관절염"
"578","앞뒤짧은머리증"
"579","끝곁매듭"
"580","끝곁매듭염색체"
"581","뾰족머리증"
"582","첨두증"
"583","뾰족머리과다가락붙음증"
"584","뾰족머리다합지증"
"585","뾰족머리증"
"586","첨두증"
"587","손발오그라듦"
"588","사지구축"
"589","말단청색증"
"590","말단청색한랭병"
"591","말단청색저온병"
"592","말단피부염"
"593","손발피부염"
"594","연속말단피부염"
"595","창자병증말단피부염"
"596","지속말단피부염"
"597","말단피부증"
"598","말단통증"
"599","말단홍반"
"600","말단홍색각피증"
"601","말단감각과민"
"602","말단통증"
"603","얼굴말단뼈발생이상"
"604","팔다리인식"
"605","찬손발"
"606","말단냉각"
"607","말단각화탄력섬유증"
"608","말단각화증"
"609","말단비대거인"
"610","말단비대"
"611","팔다리통증"
"612","말단발육과다"
"613","봉우리끝"
"614","견봉단"
"615","봉우리그물"
"616","견봉망"
"617","어깨봉우리반사"
"618","견봉반사"
"619","말단왜소"
"620","봉우리목피판"
"621","견봉경피판"
"622","봉우리빗장관절"
"623","견봉쇄골관절"
"624","봉우리빗장인대"
"625","견봉쇄골인대"
"626","어깨뼈봉우리"
"627","견봉"
"628","어깨뼈봉우리절제"
"629","견봉절제"
"630","어깨뼈봉우리성형"
"631","견봉성형"
"632","말단신경병"
"633","말단신경증"
"634","말단마비"
"635","말단감각이상"
"636","말단병"
"637","꼭지방향"
"638","정점시각"
"639","고소공포"
"640","말단색소침착"
"641","말단피부경화"
"642","말단경화"
"643","아크로신"
"644","첨단체모자"
"645","첨단체잔섬유"
"646","첨단체미세섬유"
"647","첨단체과립"
"648","첨단체막"
"649","첨단체"
"650","첨단체반응"
"651","말단뼈용해"
"652","말단골용해"
"653","가락끝붙음증"
"654","말단합지증"
"655","표피내땀샘관모반"
